Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Creator;Reference;Attributions;Update frequency;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score
entidades-asociativas-agroalimentarias-prioritarias-reconocidas-de-caracter-regi;False;Entidades Asociativas Agroalimentarias Prioritarias Reconocidas de carácter regional;"<p><span style=""font-family: lora; font-size: medium;"">Entidades Asociativas Agroalimentarias prioritarias reconocidas en Castilla y León.</span></p><p><span style=""font-family: lora; font-size: medium;""><br></span><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Mensual.</span></p><p><br></p>";Medio rural y pesca;"entidades asociativas agroalimentarias prioritarias;EAPr;asociacionismo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-25T00:02:02.559000+02:00;2026-09-25T00:02:02.559000+02:00;2026-09-25T00:02:02.609000+02:00;Junta de Castilla y León;;;;47;4833;0;22184;495;0;0;6.0
estadisticas-web-paginas;False;Estadísticas web - Páginas;<p>Información sobre las páginas mas visitadas de cada sitio web siempre limitando a todas aquellas que tengan mas de 100 páginas vistas al día. Actualización diaria.</p><p><br></p>;Sector público;estadísticas;CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T23:43:06.210000+02:00;2026-09-24T23:43:06.210000+02:00;2026-09-24T23:43:11.581000+02:00;Junta de Castilla y León;;;;119591;18295041;0;53178;1889;0;0;9.8
calidad-del-aire-del-dia-en-curso;False;Calidad del aire  del día en curso;"<p><span style=""font-family: lora; font-size: medium;"">Datos de concentración de contaminantes registrados cada hora, en el día en curso, en las estaciones de control de la calidad del aire de la Junta de Castilla y León.<br><br></span><span style=""font-family: lora; font-size: medium;"">Si se desea consultar los datos con un mayor nivel de filtrado o más actualizados, puede hacerlo en la</span><span style=""font-family: lora; font-size: medium;""> </span><a href=""http://servicios.jcyl.es/esco"" style=""color: rgb(186, 12, 47); text-decoration: none; font-family: lora; font-size: medium;"">aplicación de Consulta de Datos de la Red de Calidad del Aire</a><span style=""font-family: lora; font-size: medium;""></span></p>";Medio ambiente;"Calidad del aire;medio ambiente;atmosfera;contaminación;diario";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T23:06:17.026000+02:00;2026-09-24T23:06:17.026000+02:00;2026-09-24T23:06:17.069000+02:00;Junta de Castilla y León;;;HOURLY;3882;293155;0;4004;77;0;0;2.5
concentracion-parcelaria;False;Concentración Parcelaria;Información pública de concentraciones parcelarias;Medio rural y pesca;"concentración;parcelas;agricultura;superficie;fincas";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:10:49.725000+02:00;2026-09-24T22:10:49.725000+02:00;2026-09-24T22:10:49.781000+02:00;Junta de Castilla y León;;;;3192;870326;0;64201;308;0;0;9.1
formacion-del-ecyl;False;Formación del ECYL;"<p>Listado de cursos de formación competencia del ECYL.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Empleo;"formación;empleo;ecyl;cursos";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:06:09.449000+02:00;2026-09-24T22:06:09.449000+02:00;2026-09-24T22:06:09.499000+02:00;Junta de Castilla y León;;;;552;688112;0;119842;25932;0;0;19.8
convocatorias-de-empleo-publico;False;Convocatorias de Empleo Público;"<p>Convocatorias de Empleo Público de la Junta de Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Sector público;"empleo;publico;oposiciones";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:06:09.164000+02:00;2026-09-24T22:06:09.164000+02:00;2026-09-24T22:06:09.209000+02:00;Junta de Castilla y León;;;;309;2928472;0;103713;519;0;0;11.6
proyectos-de-cooperacion-al-desarrollo;False;Proyectos de cooperación al desarrollo;"<p><span style=""font-family: lora; font-size: medium;"">Listado de proyectos de cooperación al desarrollo.</span></p><p><span style=""font-family: lora; font-size: medium;""><br></span><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Anual.</span></p><p><br></p>";Sociedad y bienestar;"proyectos;cooperación;desarrollo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:29.871000+02:00;2026-09-24T22:01:29.871000+02:00;2026-09-24T22:01:29.924000+02:00;Junta de Castilla y León;;;;934;3128996;0;43086;243;0;0;7.5
noticias-del-ecyl;False;Noticias del ECYL;"<p>Listado de noticias competencia del servicio público de empleo.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Empleo;"noticias;empleo;ecyl;actualidad;comunicación";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:21.763000+02:00;2026-09-24T22:01:21.763000+02:00;2026-09-24T22:01:21.811000+02:00;Junta de Castilla y León;;;;71;247744;0;109432;200;0;0;11.4
registro-de-turismo-de-castilla-y-leon;False;Registro de Turismo de Castilla y León;Relación de infraestructuras turísticas de Castilla y León;Turismo;"turismo;gastronomía;retu;alojamiento;esquí;golf;transporte";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:21.579000+02:00;2026-09-24T22:01:21.579000+02:00;2026-09-24T22:01:21.625000+02:00;Junta de Castilla y León;;;;35955;7921530;0;1738460;30221;0;0;51.8
ofertas-de-empleo;False;Ofertas de Empleo;"<p>Listado de ofertas de empleo en Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Empleo;"ofertas;empleo;ecyl;trabajo";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:01:10.228000+02:00;2026-09-24T22:01:10.228000+02:00;2026-09-24T22:01:10.274000+02:00;Junta de Castilla y León;;;;1089;1100993;0;741042;1538;0;0;29.8
registro-de-municipios-de-castilla-y-leon;False;Registro de municipios de Castilla y León;"<p>Listado de municipios de Castilla y León.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Sector público;"registro;municipios;mancomunidades;entidades menores";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:00:39.172000+02:00;2026-09-24T22:00:39.172000+02:00;2026-09-24T22:00:39.218000+02:00;Junta de Castilla y León;;;;2248;430147;0;456583;54877;0;0;34.4
tramites;False;Trámites;"<p>Trámites de la Junta de Castilla y León en la Sede Electrónica. No incorpora convocatorias de ayudas y premios, incluidos en otros conjuntos de datos.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria</span></p>";Sector público;"tramites;sede;electronica";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:00:30.563000+02:00;2026-09-24T22:00:30.563000+02:00;2026-09-24T22:00:30.616000+02:00;Junta de Castilla y León;;;;846;6176574;0;49960;398;0;0;8.3
registro-de-desfibriladores-externos-semiautomaticos-desa-en-vehiculos-de-transp;False;Registro de desfibriladores externos semiautomáticos (DESA) en vehículos de transporte no sanitario;"<p>Relación de desfibriladores externos semiautomáticos (DESA) en vehículos de transporte NO sanitario de Castilla y León indicando su número de serie, empresa, provincia y localidad.</p><p><span style=""font-family: inherit; font-size: 1em;"">Frecuencia de actualización:</span><span style=""font-family: inherit; font-size: 1em;""> Diaria.</span></p>";Salud;"desfibriladores;automáticos;vehículos;desa;dese";CC BY 4.0 ES;es;;2026-09-24T22:00:17.466000+02:00;2026-09-24T22:00:17.466000+02:00;2026-09-24T22:00:17.518000+02:00;Junta de Castilla y León;;;;130;11244;0;18099;466;0;0;5.5
directorio-de-centros-docentes;False;Directorio de Centros Docentes;Relación de centros educativos que imparten enseñanzas no universitarias en el curso académico actual;Educación;"educación;centros docentes;colegios;ceip;ies;primaria;infantil;secundaria;público;privado";CC BY 4.0 ES;es;Europe/Madrid;2026-09-24T22:00:15.299000+02:00;2026-09-24T22:00:15.299000+02:00;2026-09-24T22:00:15.348000+02:00;Junta de Castilla y León;;;;1744;659886;0;295528;5233;0;0;21.4
