Título;Provincia;Fecha publicación;Descripción;ProvinciaAlternativa;FuenteContenido;ID Localidad;Localidad;Latitud;Longitud;Código localidad;Identificador;actualizacion de metadatos;Enlace al contenido;Posicion
Bolsa de Auxiliar de Guardería para Ayto. de Piedrahita (Ávila);Ávila;2026-09-18;"<p><strong>Convoca:</strong> Ayuntamiento de Piedrahíta</p>
<p><strong>Cuerpo:</strong> BOLSA DE AUXILIAR DE GUARDERIA</p>
<p><strong>Plazas:</strong> Bolsa </p>
<p><strong>Acceso: </strong>Concurso de méritos</p>
<p><strong>Titulación:</strong> Técnico Superior en Educación Infantil o equivalentes</p>
<p><strong>Plazo: </strong>7 de octubre de 2026</p><p><strong>Información obtenida de: </strong>Empleo público. BOP Ávila 18/09/2026</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://www.diputacionavila.es/bops/2026/18-09-2026/18-09-2026_183026.pdf' target='_blank'>Enlace a Convocatoria en BOP</a></li></ul></p>";;Organismo oficial;1179297256823;Piedrahíta;40.46339;-5.328194;05;1285680542773;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680542773/Empleo;40.46339, -5.328194
AGENTES COMERCIALES;Burgos;2026-09-18;"<p>puesto administrativo y comercial de seguros en oficina de mapfre en melgar de fernamental
en un principio media jornada y en 6-8 meses si es la persona valida jornada completa y contrato indefinido</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394661'>Oficina Virtual</a></p>";;ECYL;1179297544045;Melgar de Fernamental;42.403416;-4.2444806;09;1285680403518;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680403518/Empleo;42.403416, -4.2444806
PROFESORES TÉCNICOS DE FORMACIÓN PROFESIONAL (INFORMÁTICA Y COMUNICACIONES);Burgos;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394372'>Oficina Virtual</a></p>;;ECYL;1179297562001;Miranda de Ebro;42.679066;-2.9675572;09;1285680216382;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680216382/Empleo;42.679066, -2.9675572
PEONES DE LA CONSTRUCCIÓN DE EDIFICIOS;Burgos;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394622'>Oficina Virtual</a></p>;;ECYL;1179297707000;Villagonzalo Pedernales;42.301407;-3.7365916;09;1285680216447;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680216447/Empleo;42.301407, -3.7365916
Bolsa de Técnico/a Medio/a del Servicio de Informática y Comunicaciones para Universidad de Burgos;Burgos;2026-09-18;"<p><strong>Convoca:</strong> Universidad de Burgos</p>
<p><strong>Cuerpo: </strong> TÉCNICO/A MEDIO/A DEL SERVICIO DE INFORMÁTICA Y COMUNICACIONES</p>
<p><strong>Plazas:</strong> Bolsa de empleo</p>
<p><strong>Acceso:</strong> Test + entrevista</p>
<p><strong>Titulación:</strong> Titulación universitaria del grupo A2</p>
<p><strong>Plazo:</strong> 30 de septiembre de 2026</p><p><strong>Información obtenida de: </strong>Empleo público. BOCYL 16/09/2026</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://bocyl.jcyl.es/boletines/2026/09/16/pdf/BOCYL-D-16092026-180-12.pdf' target='_blank'>Consulte bases y plazo en BOCYL 16/09/2026</a></li></ul></p>";;Organismo oficial;1179297447246;Burgos;42.3408235575;-3.70205869083;09;1285680409987;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680409987/Empleo;42.3408235575, -3.70205869083
CONDUCTORES DE CAMIÓN, EN GENERAL;Burgos;2026-09-18;"<p>Oferta de 4 puestos de conductor de camión en Miranda de Ebro, requisitos CAP, C Y C+E. 
Contactar con la oficina 947 32 04 08.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394081'>Oficina Virtual</a></p>";;ECYL;1179297562001;Miranda de Ebro;42.679066;-2.9675572;09;1285680403031;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680403031/Empleo;42.679066, -2.9675572
Bolsa de Técnico/a Especialista Fontanero/a para Universidad de Burgos;Burgos;2026-09-18;"<p><strong>Convoca:</strong> Universidad de Burgos</p>
<p><strong>Cuerpo: </strong> TÉCNICO/A ESPECIALISTA, FONTANERO/A</p>
<p><strong>Plazas:</strong> Bolsa de empleo</p>
<p><strong>Acceso:</strong> Oposición</p>
<p><strong>Titulación:</strong> Bachiller, Técnico/a Superior o equivalente</p>
<p><strong>Plazo:</strong> 30 de septiembre de 2026</p>
<p><strong>Observaciones:</strong> </p>
<ul>
<li>Carnet RITE (Reglamento de Instalaciones Térmicas en los Edificios)</li>
<li>Carnet de Operador de Calderas Industriales</li>
<li>Certificado acreditativo de la competencia para la manipulación de equipos con sistemas frigoríficos¿</li>
</ul><p><strong>Información obtenida de: </strong>Empleo público. BOCYL 16/09/2026</p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://bocyl.jcyl.es/boletines/2026/09/16/pdf/BOCYL-D-16092026-180-11.pdf' target='_blank'>Consulte bases y plazo en BOCYL 16/09/2026</a></li></ul></p>";;Organismo oficial;1179297447246;Burgos;42.3408235575;-3.70205869083;09;1285680335000;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680335000/Empleo;42.3408235575, -3.70205869083
EDUCADORES SOCIALES;León;2026-09-18;"<p>REFERENTE SOCIAL, CON EXPERIENCIA EN ATENCIÓN A PERSONAS CON DISCAPACIDAD CON ENFERMEDAD MENTAL. DIPLOMADO / GRADO EN TRABAJO SOCIAL O DIPLOMADO / GRADO EN EDUCACIÓN SOCIAL. CON PERMISO DE CONDUCIR. CONTRATO INDEFINIDO, A JORNADA COMPLETA, DE LUNES A VIERNES DE 8:00 A 15:42
INTERESADOS LLAMAR AL 987 249530 (SECCIÓN DE OFERTAS - OFICINA DE EMPLEO DE RAMÓN Y CAJAL)</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394689'>Oficina Virtual</a></p>";;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285680537115;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680537115/Empleo;42.59873, -5.5670958
COCINEROS, EN GENERAL;León;2026-09-18;"<p>OFERTA nº 09/2026/19799.
Se busca cocinero/a para residencia de mayores en Ponferrada. Contrato temporal a jornada completa (turnos mañana/tarde).
REQUISITO imprescindible: F.P. Técnico en cocina y gastronomía.
INTERESADOS CONTACTAR O.E. PONFERRADA tfno. 987410859 ? EXT.2</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394615'>Oficina Virtual</a></p>";;ECYL;1179297888504;Ponferrada;42.549995;-6.598259;24;1285680473169;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473169/Empleo;42.549995, -6.598259
Dependiente/a;León;2026-09-18;"Se necesita dependient@ con experiencia en ventas. Se valorará experiencia previa en atención al cliente y dotes comerciales.<br />
<br />
Interesad@s enviar currículum a: abilomaproteccion@gmail.com<br />
<br />
Oferta publicada en La Nueva Crónica.";;Internet / Prensa;;;;;;1285680387777;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680387777/Empleo;
