Provincia;Localidad;Código Centro;Centro Educativo;Titularidad Centro;Familia Profesional;Código Familia;Nivel Educativo;Clave Ciclo;Ciclo Formativo/Curso de Especialización;Modalidad;"Tipo
enseñanza";Grupos 1º;Grupos 2º;Grupos 3º;Dirección centro;Código postal;Teléfono;e-mail;Web;Localización
Ávila;Arévalo;05000427;IES EULOGIO FLORENTINO SANZ;Educación;Administración y Gestión;ADG;Grado Medio;ADG01M;Gestión Administrativa;Presencial;Pública;1.0;1.0;;Avda. Emilio Romero, 22;05200;920 300 221;05000427@educa.jcyl.es;http://ieseulogioflorentinosanz.centros.educa.jcyl.es;41.05609, -4.71445
Ávila;Arévalo;05000427;IES EULOGIO FLORENTINO SANZ;Educación;Administración y Gestión;ADG;Grado Superior;ADG02S;Administración y Finanzas;Presencial;Pública;1.0;1.0;;Avda. Emilio Romero, 22;05200;920 300 221;05000427@educa.jcyl.es;http://ieseulogioflorentinosanz.centros.educa.jcyl.es;41.05609, -4.71445
Ávila;Arévalo;05000427;IES EULOGIO FLORENTINO SANZ;Educación;Hostelería y Turismo;HOT;Grado Básico;HOT01B;Cocina y Restauración;Presencial;Pública;1.0;1.0;;Avda. Emilio Romero, 22;05200;920 300 221;05000427@educa.jcyl.es;http://ieseulogioflorentinosanz.centros.educa.jcyl.es;41.05609, -4.71445
Ávila;Ávila;05000580;MILAGROSA-LAS NIEVES;Privada;Informática y Comunicaciones;IFC;Grado Básico;IFC01B;Informática y Comunicaciones;Presencial;Concertada;1.0;1.0;;Paseo Santo Tomás 35-37;05001;920 221 712;05000580@educa.jcyl.es;http://www.milagrosalasnieves.es;40.65511, -4.69326
Ávila;Ávila;05000580;MILAGROSA-LAS NIEVES;Privada;Imagen y Sonido;IMS;Grado Superior;IMS01S;Animaciones 3D, Juegos y Entornos Interactivos;Presencial;Concertada;1.0;1.0;;Paseo Santo Tomás 35-37;05001;920 221 712;05000580@educa.jcyl.es;http://www.milagrosalasnieves.es;40.65511, -4.69326
Ávila;Ávila;05000658;ASUNCIÓN DE NUESTRA SEÑORA;Privada;Informática y Comunicaciones;IFC;Grado Superior;IFC01S;Administración de Sistemas Informáticos en Red;Presencial;Concertada;1.0;1.0;;C/ Lesquinas, 2;05001;920 212 300;05000658@educa.jcyl.es;http://www.dioceavila.com;40.65559, -4.6947
Ávila;Ávila;05000658;ASUNCIÓN DE NUESTRA SEÑORA;Privada;Administración y Gestión;ADG;Grado Medio;ADG01M;Gestión Administrativa;Presencial;Concertada;1.0;1.0;;C/ Lesquinas, 2;05001;920 212 300;05000658@educa.jcyl.es;http://www.dioceavila.com;40.65559, -4.6947
Ávila;Ávila;05000658;ASUNCIÓN DE NUESTRA SEÑORA;Privada;Comercio y Marketing;COM;Grado Medio;COM01M;Actividades Comerciales;Presencial;Concertada;1.0;1.0;;C/ Lesquinas, 2;05001;920 212 300;05000658@educa.jcyl.es;http://www.dioceavila.com;40.65559, -4.6947
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Administración y Gestión;ADG;Grado Superior;ADG02S;Administración y Finanzas;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Administración y Gestión;ADG;Grado Superior;ADG02Sd;Administración y Finanzas (distancia);Distancia;Pública;1.0;0.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Informática y Comunicaciones;IFC;Grado Básico;IFC01B;Informática y Comunicaciones;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Informática y Comunicaciones;IFC;Grado Superior;IFC02S;Desarrollo de Aplicaciones Multiplataforma;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Administración y Gestión;ADG;Grado Medio;ADG01Md;Gestión Administrativa (distancia);Distancia;Pública;1.0;0.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Informática y Comunicaciones;IFC;Grado Medio;IFC01M;Sistemas Microinformáticos y Redes;Presencial;Pública;2.0;2.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
