CURSO ACADÉMICO;CÓDIGO;C.SITUACIÓN;SITUACIÓN;C.NATURALEZA;NATURALEZA;C.DENOMINACIÓN GENÉRICA;DENOMINACIÓN GENÉRICA;DENOMINACIÓN GENÉRICA BREVE;DENOMINACIÓN ESPECÍFICA;C.VÍA;VÍA;NOMBRE DE LA VÍA;NÚMERO;NÚMERO(EXT);PISO;PISO(EXT);ESCALERA;LETRA;C.PROV;C.MUNI;C.LOCA;PROVINCIA;MUNICIPIO;LOCALIDAD;C.POSTAL;TELÉFONO;FAX;LETRA;CORREO ELECTRÓNICO;WEB;COORD. LONGITUD;COORD. LATITUD;C.R.A;INTERNADO;CONCIERTO;JORNADA CONTINUA;COMEDOR;TRANSPORTE;Localización
2026;05000749;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CERVANTES;CALLE;CALLE;JESÚS DEL GRAN PODER;12;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920221849;920221849;;05000749@educa.jcyl.es;http://cpcervantes.centros.educa.jcyl.es;-4.69544;40.65235;N;N;N;S;S;N;40.65235, -4.69544
2026;05009583;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA ALTO ALBERCHE;CALLE;CALLE;PILÓN;5;;;;;;5;160;1;AVILA;NAVALOSA;NAVALOSA;5123;920299358;920299358;;05009583@educa.jcyl.es;http://craaltoalberche.centros.educa.jcyl.es/;-4.9331;40.40074;S;N;N;S;N;N;40.40074, -4.9331
2026;05006132;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA ALTO TIÉTAR;CALLE;CALLE;CAMINO DE LOS PRADOS;;S/N;;;;;5;227;1;AVILA;SANTA MARÍA DEL TIÉTAR;SANTA MARÍA DEL TIÉTAR;5429;918662474;918662474;;05006132@educa.jcyl.es;http://craaltotietar.centros.educa.jcyl.es;-4.55124;40.30658;S;N;N;S;N;N;40.30658, -4.55124
2026;05005875;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA CAMILO JOSÉ CELA;CALLE;CALLE;ESCUELAS;1;;;;;;5;13;1;AVILA;ARENAL (EL);ARENAL (EL);5416;920375470;920375483;;05005875@educa.jcyl.es;http://cracamilojosecela.centros.educa.jcyl.es;-5.08736;40.26526;S;N;N;S;N;N;40.26526, -5.08736
2026;05005887;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA EL BARRANCO;PS.;PASEO;DE SAN ESTEBAN;;S/N;;;;;5;207;1;AVILA;SAN ESTEBAN DEL VALLE;SAN ESTEBAN DEL VALLE;5412;920383556;;;05005887@educa.jcyl.es;http://craelbarranco.centros.educa.jcyl.es;-4.98299;40.27561;S;N;N;S;S;N;40.27561, -4.98299
2026;05006053;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA EL CALVITERO;CALLE;CALLE;BELLOTERA;;S/N;;;;;5;97;2;AVILA;HORCAJADA (LA);HORCAJADA (LA);5695;920364224;;;05006053@educa.jcyl.es;http://craelcalvitero.centros.educa.jcyl.es;-5.46846;40.43422;S;N;N;S;N;N;40.43422, -5.46846
2026;05005930;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA FUENTEADAJA;CALLE;CALLE;LA SERRADA;1;;;;;;5;135;1;AVILA;MUÑANA;MUÑANA;5540;920231488;920231488;;05005930@educa.jcyl.es;http://crafuenteadaja.centros.educa.jcyl.es;-5.01513;40.5889;S;N;N;S;S;S;40.5889, -5.01513
2026;05006016;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA LAS TORRES;CALLE;CALLE;CHORRITO;2;;;;;;5;127;1;AVILA;MIJARES;MIJARES;5461;920385212;920385212;;05006016@educa.jcyl.es;http://cralastorres.centros.educa.jcyl.es;-4.83875;40.29681;S;N;N;S;N;N;40.29681, -4.83875
2026;05005966;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA LOS FRESNOS;AV.;AVENIDA;JOSÉ ANTONIO;30;;;;;;5;76;1;AVILA;FRESNO (EL);FRESNO (EL);5197;920268987;920081542;;05005966@educa.jcyl.es;http://cralosfresnos.centros.educa.jcyl.es;-4.7489;40.61585;S;N;N;S;N;N;40.61585, -4.7489
2026;05006090;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA MORAÑA BAJA;CALLE;CALLE;LA LARGA;16;;;;;;5;117;1;AVILA;MAMBLAS;MAMBLAS;5298;920321309;920310175;;05006090@educa.jcyl.es;http://cramoranabaja.centros.educa.jcyl.es;-5.0129;41.01862;S;N;N;S;N;N;41.01862, -5.0129
2026;05003571;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA VALLE AMBLÉS;CALLE;CALLE;PELAYO SAHAGÚN;3;;;;;;5;138;1;AVILA;MUÑOGALINDO;MUÑOGALINDO;5530;920265260;;;05003571@educa.jcyl.es;http://cravalleambles.centros.educa.jcyl.es/;-4.89784;40.60274;S;N;N;S;N;N;40.60274, -4.89784
2026;05001493;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;DOÑA CONCEPCIÓN ARENAL;AV.;AVENIDA;DE CASTILLA-LEÓN;15;;;;;;5;54;1;AVILA;CASAVIEJA;CASAVIEJA;5450;918678330;;;05001493@educa.jcyl.es;http://ceipdonaconcepcionarenal.centros.educa.jcyl.es;-4.766;40.28114;N;N;N;S;N;N;40.28114, -4.766
